partition_point,tail_model_name,activation_shape,num_values,transfer_kb_fp32,transfer_kb_fp16
features.0,mobilenet_v3_small_tail_after_features_0,1x16x112x112,200704,784.0,392.0
features.1,mobilenet_v3_small_tail_after_features_1,1x16x56x56,50176,196.0,98.0
features.2,mobilenet_v3_small_tail_after_features_2,1x24x28x28,18816,73.5,36.75
features.3,mobilenet_v3_small_tail_after_features_3,1x24x28x28,18816,73.5,36.75
features.4,mobilenet_v3_small_tail_after_features_4,1x40x14x14,7840,30.62,15.31
features.5,mobilenet_v3_small_tail_after_features_5,1x40x14x14,7840,30.62,15.31
features.6,mobilenet_v3_small_tail_after_features_6,1x40x14x14,7840,30.62,15.31
features.7,mobilenet_v3_small_tail_after_features_7,1x48x14x14,9408,36.75,18.38
features.8,mobilenet_v3_small_tail_after_features_8,1x48x14x14,9408,36.75,18.38
features.9,mobilenet_v3_small_tail_after_features_9,1x96x7x7,4704,18.38,9.19
features.10,mobilenet_v3_small_tail_after_features_10,1x96x7x7,4704,18.38,9.19
features.11,mobilenet_v3_small_tail_after_features_11,1x96x7x7,4704,18.38,9.19
features.12,mobilenet_v3_small_tail_after_features_12,1x576x7x7,28224,110.25,55.12
avgpool,mobilenet_v3_small_tail_after_avgpool,1x576x1x1,576,2.25,1.12
flatten,mobilenet_v3_small_tail_after_flatten,1x576,576,2.25,1.12
classifier.0,mobilenet_v3_small_tail_after_classifier_0,1x1024,1024,4.0,2.0
classifier.1,mobilenet_v3_small_tail_after_classifier_1,1x1024,1024,4.0,2.0
classifier.2,mobilenet_v3_small_tail_after_classifier_2,1x1024,1024,4.0,2.0
