experiment_id,scenario_id,mode,partition_point,load_model_name,load_rps_target,duration_s,mode_command_sent_ts,mode_confirmed_ts,load_command_sent_ts,load_confirmed_ts,load_stop_ts,analysis_start_ts,analysis_end_ts,status
exp_004,1,full_server,,resnet18_full,0.0,25.0,1776091228.2585788,1776091228.2438426,,,1776091258.4387105,1776091233.4387105,1776091258.4387105,completed
exp_004,2,full_server,,resnet18_full,100.0,25.0,1776091258.556119,1776091258.6550648,1776091261.787205,1776091262.1709318,1776091292.385332,1776091267.300621,1776091292.300621,completed
exp_004,3,full_server,,resnet18_full,150.0,25.0,1776091292.3863056,1776091292.442407,1776091295.6050303,1776091295.9868877,1776091326.3823545,1776091301.2637553,1776091326.2637553,completed
exp_004,4,split,stem,resnet18_tail_after_stem,0.0,25.0,1776091326.3830607,1776091328.7542415,,,1776091359.0008538,1776091334.0008538,1776091359.0008538,completed
exp_004,5,split,stem,resnet18_tail_after_stem,100.0,25.0,1776091359.0421588,1776091359.1718853,1776091362.2945113,1776091362.673947,1776091392.8833287,1776091367.75591,1776091392.75591,completed
exp_004,6,split,stem,resnet18_tail_after_stem,150.0,25.0,1776091392.8843083,1776091392.917789,1776091396.035251,1776091396.3971362,1776091426.735904,1776091401.5418317,1776091426.5418317,completed
exp_004,7,split,layer1.0,resnet18_tail_after_layer1_0,0.0,25.0,1776091426.7370284,1776091428.03413,,,1776091458.135061,1776091433.135061,1776091458.135061,completed
exp_004,8,split,layer1.0,resnet18_tail_after_layer1_0,100.0,25.0,1776091458.2638497,1776091458.3463886,1776091461.5279846,1776091461.886526,1776091492.1512036,1776091467.0538642,1776091492.0538642,completed
exp_004,9,split,layer1.0,resnet18_tail_after_layer1_0,150.0,25.0,1776091492.1519701,1776091492.196059,1776091495.316823,1776091495.675405,1776091525.9625778,1776091500.845655,1776091525.845655,completed
exp_004,10,split,layer1.1,resnet18_tail_after_layer1_1,0.0,25.0,1776091525.9639573,1776091527.234431,,,1776091557.4157083,1776091532.4157083,1776091557.4157083,completed
exp_004,11,split,layer1.1,resnet18_tail_after_layer1_1,100.0,25.0,1776091557.4872162,1776091557.6386397,1776091560.82128,1776091561.1833413,1776091591.326485,1776091566.2216568,1776091591.2216568,completed
exp_004,12,split,layer1.1,resnet18_tail_after_layer1_1,150.0,25.0,1776091591.3272483,1776091591.3634334,1776091594.4172225,1776091594.8018599,1776091625.1232843,1776091599.9720197,1776091624.9720197,completed
exp_004,13,split,layer2.0,resnet18_tail_after_layer2_0,0.0,25.0,1776091625.1238332,1776091626.3278804,,,1776091656.6053112,1776091631.6053112,1776091656.6053112,completed
